"","admit","paes","nem","rank"
"127",1,540,6.3,"4"
"128",0,619,6.5,"1"
"129",0,457,6,"3"
"130",0,393,5.9,"1"
"131",1,622,6,"3"
"132",0,538,5.6,"3"
"133",0,490,6.2,"3"
"134",0,425,5.9,"2"
"135",0,474,5.8,"3"
"136",0,425,6.4,"2"
"137",0,474,6.1,"1"
"138",0,587,6.8,"2"
"139",0,522,6.2,"3"
"140",1,540,6.4,"4"
"141",0,538,6.7,"3"
"142",1,675,6.3,"1"
"143",0,522,6.7,"1"
"144",0,490,6.2,"2"
"145",0,490,6.2,"1"
"146",0,328,6.2,"2"
"147",0,409,6.2,"3"
"148",0,474,5.5,"2"
"149",1,432,5.7,"4"
"150",0,619,6.1,"4"
"151",1,986,6.5,"4"
"152",0,344,6.2,"3"
"153",1,642,6.7,"3"
"154",0,490,6.3,"2"
"155",0,522,6.5,"2"
"156",1,522,5.7,"1"
"157",0,474,5.3,"3"
"158",1,432,6.4,"4"
"159",0,555,6.3,"3"
"160",0,587,6.6,"2"
"161",0,506,5.9,"3"
"162",0,538,6.3,"3"
"163",1,745,6.4,"3"
"164",0,441,5.5,"3"
"165",0,490,6.1,"3"
"166",0,587,6.8,"4"
"167",0,376,6,"1"
"168",0,603,6.6,"2"
"169",0,425,6.8,"2"
"170",0,506,6.4,"2"
"171",0,344,6.3,"2"
"172",0,457,5.6,"2"
"173",0,571,6.3,"2"
"174",1,986,6.2,"3"
"175",0,425,6.3,"1"
"176",1,622,6.2,"3"
"177",0,441,5.4,"3"
"178",1,580,6,"2"
"179",0,522,6.1,"2"
"180",0,263,5.8,"2"
"181",0,522,6.6,"2"
"182",0,425,6.7,"1"
"183",0,587,6.8,"3"
"184",1,486,6.6,"3"
"185",0,425,5.6,"1"
"186",0,668,6.4,"3"
"187",0,474,6.4,"2"
"188",0,490,5.7,"3"
"189",0,474,5.9,"3"
"190",0,425,6.2,"3"
"191",1,642,5.7,"3"
"192",0,668,6.3,"2"
"193",0,538,6.6,"2"
"194",0,328,6.4,"1"
"195",1,540,6.3,"3"
"196",0,474,6.4,"3"
"197",0,555,5.9,"2"
"198",1,360,6,"1"
"199",0,506,6.4,"2"
"200",0,490,6.6,"1"
"201",0,668,6.1,"2"
"202",1,522,6,"3"
"203",1,745,6.8,"4"
"204",0,360,6.7,"1"
"205",1,540,6.7,"4"
"206",1,790,6.6,"2"
"207",0,619,6.3,"4"
"208",1,642,6.4,"4"
"209",0,457,6,"2"
"210",0,490,6.3,"3"
"211",0,619,6.1,"1"
"212",0,490,5.8,"3"
"213",0,393,5.7,"3"
"214",0,538,6.2,"2"
"215",1,540,6.4,"3"
"216",1,636,5.7,"2"
"217",0,295,5.7,"4"
"218",1,414,6.4,"4"
"219",0,393,5.8,"4"
"220",1,504,6.4,"3"
"221",0,457,6.1,"2"
"222",0,571,6.8,"2"
"223",1,432,5.8,"4"
"224",0,668,6.3,"2"
"225",0,668,5.7,"3"
"226",1,694,6.3,"2"
"227",0,522,6.4,"3"
"228",0,457,5.8,"1"
"229",0,409,6.2,"3"
"230",1,781,6.2,"3"
"231",0,490,6.1,"1"
"232",0,506,6.1,"2"
"233",0,328,6.2,"3"
"234",0,360,5.5,"2"
"235",1,986,6.3,"4"
"236",0,522,5.8,"3"
"237",1,682,6.3,"3"
"238",0,409,6.8,"3"
"239",0,425,5.7,"1"
"240",0,587,6.3,"2"
"241",0,376,5.6,"3"
"242",1,468,6.6,"4"
"243",1,656,5.8,"2"
"244",0,522,6,"3"
"245",0,457,5.8,"4"
"246",0,668,6.7,"2"
"247",0,571,6.1,"3"
"248",0,376,6,"3"
"249",0,571,6.4,"2"
"250",0,538,6.5,"2"
"251",0,555,6.1,"1"
"252",0,522,6,"1"
"253",1,468,6.8,"3"
"254",1,486,6.3,"1"
"255",1,735,6.3,"1"
"256",0,538,6.2,"2"
"257",1,468,6.1,"3"
"258",1,580,6.8,"2"
"259",0,441,6.3,"3"
"260",0,538,6.6,"3"
"261",0,571,5.9,"3"
"262",0,376,5.9,"3"
"263",1,468,6,"2"
"264",1,580,6.8,"2"
"265",1,468,6.7,"2"
"266",0,328,6.1,"2"
"267",0,474,6,"1"
"268",1,540,6.4,"2"
"269",1,723,6.3,"3"
"270",0,425,5.6,"2"
"271",1,642,6.8,"3"
"272",0,457,6.1,"2"
"273",1,723,6.5,"3"
"274",0,555,6.1,"4"
"275",0,441,5.9,"3"
"276",1,540,5.8,"3"
"277",0,393,6.6,"2"
"278",1,522,6.4,"4"
"279",1,656,5.8,"1"
"280",1,682,5.9,"3"
"281",0,555,6.7,"3"
"282",0,312,6.1,"2"
"283",0,555,6.3,"1"
"284",0,441,5.9,"1"
"285",1,396,6.2,"3"
"286",0,506,6.1,"1"
"287",1,986,6,"4"
"288",1,636,6.5,"1"
"289",0,668,5.9,"1"
"290",0,360,5.1,"1"
"291",1,622,6.3,"3"
"292",0,668,5.6,"3"
"293",0,571,6.5,"3"
"294",0,668,6.8,"4"
"295",0,409,5.3,"4"
"296",0,441,6,"2"
"297",0,474,6,"4"
"298",0,393,5.9,"3"
"299",0,457,6.3,"3"
"300",0,603,6.2,"2"
"301",0,538,6.1,"3"
"302",1,636,6.4,"2"
"303",1,360,5.9,"3"
"304",1,723,6.8,"3"
"305",0,198,5.6,"2"
"306",0,490,6.3,"1"
"307",1,486,6,"4"
"308",0,490,6.3,"3"
"309",0,457,5.9,"3"
"310",0,376,5.8,"2"
"311",0,474,6.8,"2"
"312",0,555,6.5,"3"
"313",0,555,6.6,"2"
"314",1,468,6.4,"1"
"315",0,457,6.3,"1"
"316",1,270,5.6,"3"
"317",1,306,5.8,"3"
"318",1,790,6.4,"1"
"319",1,432,6.5,"1"
"320",0,457,6.1,"4"
"321",0,393,5.9,"2"
"322",0,393,6.4,"3"
"323",0,425,5.8,"1"
"324",0,360,5.5,"3"
"325",0,441,5.5,"2"
"326",0,571,6.7,"4"
"327",0,571,6.1,"3"
"328",1,504,6.3,"3"
"329",0,490,6.1,"3"
"330",0,425,5.7,"1"
"331",0,619,6.8,"2"
"332",0,555,6.4,"2"
"333",0,360,5.8,"4"
"334",0,474,6.2,"2"
"335",1,414,6.4,"2"
"336",1,622,6.5,"4"
"337",0,441,5.9,"2"
"338",0,522,5.9,"1"
"339",0,457,6,"4"
"340",1,636,6.3,"2"
"341",0,425,6,"1"
"342",1,504,5.4,"2"
"343",0,425,6.8,"1"
"344",0,490,5.9,"3"
"345",0,441,6.2,"2"
"346",0,425,5.8,"2"
"347",0,506,6.2,"3"
"348",0,490,6.6,"3"
"349",0,344,6.2,"3"
"350",0,522,5.7,"3"
"351",1,962,6.8,"3"
"352",0,522,6.2,"2"
"353",1,522,5.9,"2"
"354",0,587,6.3,"3"
"355",1,486,6.6,"3"
"356",1,910,5.6,"4"
"357",0,587,6.1,"3"
"358",0,603,6.1,"4"
"359",1,504,6.5,"2"
"360",0,603,6.7,"2"
"361",1,468,6.8,"4"
"362",1,486,6.3,"4"
"363",0,571,5.9,"3"
"364",0,393,6.2,"3"
"365",1,504,6.2,"4"
"366",0,409,5.6,"2"
"367",0,393,5.7,"2"
"368",0,522,6.4,"2"
"369",0,490,6.8,"4"
"370",0,668,6.7,"3"
"371",1,486,6.6,"3"
"372",1,656,6.6,"2"
"373",1,723,5.2,"4"
"374",1,622,6.2,"4"
"375",0,474,6.6,"3"
"376",0,474,6.3,"1"
"377",0,522,6.4,"3"
"378",1,986,6.8,"3"
"379",0,538,5.9,"2"
"380",0,457,5.5,"3"
"381",0,587,6.4,"3"
"382",1,486,6.3,"3"
"383",0,457,6.3,"3"
"384",0,555,6.8,"4"
"385",1,432,5.4,"3"
"386",0,360,5.8,"4"
"387",1,835,6.7,"3"
"388",0,490,6.2,"3"
"389",0,538,6,"3"
"390",0,538,6.3,"3"
"391",1,986,5.8,"3"
"392",1,682,6.7,"3"
"393",1,540,6.2,"2"
"394",1,622,6.6,"3"
"395",1,414,6.8,"2"
"396",0,522,6.8,"3"
"397",0,474,5.8,"2"
"398",0,393,5.4,"3"
"399",0,587,6.4,"3"
"400",0,506,6.7,"2"
"401",1,504,5.4,"1"
"402",0,528,5.6,"4"
"403",1,504,6.4,"3"
"404",0,421,5.8,"3"
"405",0,301,5.4,"4"
"406",1,432,5.8,"3"
"407",1,723,6.1,"1"
"408",0,421,5.7,"4"
"409",1,540,6.3,"4"
"410",0,401,5.6,"3"
"411",0,613,5.1,"4"
"412",0,298,5.3,"4"
"413",0,363,6.5,"1"
"414",0,420,5.7,"4"
"415",1,682,6.3,"2"
"416",0,429,6.2,"2"
"417",0,585,6.3,"2"
"418",1,622,6.4,"4"
"419",0,553,6.2,"3"
"420",0,454,5.8,"4"
"421",0,325,5.7,"3"
"422",1,414,6.8,"1"
"423",0,464,5.4,"3"
"424",0,475,5.9,"4"
"425",0,522,6.1,"4"
"426",0,374,5.3,"4"
"427",0,386,5.5,"4"
"428",0,476,5.1,"4"
"429",0,609,5.3,"1"
"430",0,347,5.6,"4"
"431",0,598,5.9,"4"
"432",1,818,6.8,"1"
"433",1,468,5.5,"1"
"434",0,607,6.4,"1"
"435",1,622,6.8,"3"
"436",1,504,6.5,"2"
"437",0,335,5.3,"3"
"438",1,522,6.1,"2"
"439",1,675,6.3,"1"
"440",0,440,5.6,"3"
"441",1,694,6.3,"1"
"442",0,490,6.4,"4"
"443",0,357,5.1,"4"
"444",1,468,6.1,"1"
"445",0,510,5.7,"2"
"446",0,327,5,"3"
"447",0,278,5.8,"3"
"448",0,508,5.5,"4"
"449",0,380,5.4,"4"
"450",0,381,5.5,"4"
"451",1,682,6.8,"1"
"452",0,521,5.7,"2"
"453",1,622,6,"3"
"454",0,411,5.4,"4"
"455",0,424,6.2,"4"
"456",1,360,5.9,"3"
"457",0,435,5.4,"3"
"458",0,267,5.5,"2"
"459",0,463,5.7,"3"
"460",1,642,5.7,"2"
"461",0,504,5.2,"2"
"462",1,986,6.2,"2"
"463",1,622,6.6,"2"
"464",0,425,6.3,"4"
"465",0,452,6.3,"4"
"466",1,682,6.8,"2"
"467",0,528,5.2,"2"
"468",0,325,5.5,"1"
"469",0,480,5.7,"3"
"470",1,818,6.8,"1"
"471",0,430,5.2,"4"
"472",1,962,6.8,"1"
"473",0,461,6,"3"
"474",1,468,6.4,"1"
"475",0,349,5.2,"3"
"476",1,504,6.2,"4"
"477",0,421,5.5,"4"
"478",0,538,6.2,"3"
"479",1,450,6.4,"1"
"480",0,491,6,"2"
"481",1,540,6.7,"3"
"482",0,235,5.4,"3"
"483",1,432,5.4,"1"
"484",1,642,6.8,"3"
"485",0,363,6.1,"2"
"486",0,393,6.1,"3"
"487",0,499,6.1,"4"
"488",0,539,5.5,"4"
"489",0,512,5.3,"4"
"490",0,556,6.3,"3"
"491",0,455,6.1,"4"
"492",1,580,6.8,"2"
"493",0,437,5,"2"
"494",0,363,5.6,"2"
"495",1,835,5.8,"2"
"496",0,555,5.6,"2"
"497",1,986,6.3,"3"
"498",1,522,6,"1"
"499",0,282,5,"3"
"500",1,910,6.2,"1"
"501",1,540,6.4,"1"
"502",0,373,5.2,"3"
"503",0,521,6.1,"2"
"504",0,277,5.2,"4"
"505",0,476,6.2,"2"
"506",0,522,6.3,"4"
"507",0,322,5,"1"
"508",0,301,5.8,"1"
"509",0,467,5.6,"2"
"510",0,431,5.8,"4"
"511",0,534,6.2,"2"
"512",0,196,5.2,"3"
"513",0,321,5.5,"4"
"514",1,636,5.7,"1"
"515",0,422,6.2,"4"
"516",0,404,5.2,"4"
"517",1,910,5.6,"4"
"518",0,365,5.5,"2"
"519",1,504,6.3,"2"
"520",0,477,5.8,"3"
"521",0,606,6.2,"3"
"522",1,682,5.9,"1"
"523",1,270,5.6,"2"
"524",0,527,6.1,"4"
"525",1,432,5.7,"3"
"526",1,540,5.8,"1"
"527",1,540,6.4,"2"
"528",0,610,5.2,"3"
"529",0,277,5.7,"4"
"530",0,524,5.5,"4"
"531",1,522,6.3,"3"
"532",1,781,6.4,"3"
"533",0,412,5.7,"2"
"534",0,413,5.9,"4"
"535",0,377,5.5,"4"
"536",0,492,5.4,"2"
"537",0,261,5,"3"
"538",1,622,6.2,"2"
"539",0,377,5.2,"4"
"540",1,522,5.7,"1"
"541",0,475,5.7,"3"
"542",0,551,5.5,"2"
"543",0,314,5.3,"4"
"544",0,474,5.5,"4"
"545",0,393,5.7,"3"
"546",1,986,6.8,"2"
"547",0,508,6,"4"
"548",0,294,5.1,"3"
"549",1,790,6.4,"1"
"550",0,408,5.6,"3"
"551",0,436,5.4,"4"
"552",0,427,5.3,"3"
"553",0,612,6.3,"4"
"554",0,462,6.1,"4"
"555",1,432,6.5,"1"
"556",0,416,5.3,"3"
"557",1,580,6.8,"2"
"558",1,396,6.3,"1"
"559",0,284,5.7,"4"
"560",0,463,5.8,"2"
"561",0,461,5.4,"2"
"562",0,371,5.2,"2"
"563",0,425,5.6,"4"
"564",1,910,5.6,"3"
"565",0,480,5.9,"4"
"566",0,334,5.4,"3"
"567",1,540,6.4,"3"
"568",0,464,5.9,"4"
"569",0,456,5.7,"4"
"570",0,349,6.2,"2"
"571",0,520,6.2,"4"
"572",0,505,6.2,"4"
"573",0,508,5.5,"4"
"574",0,254,5.8,"3"
"575",1,636,5.7,"1"
"576",1,540,6.4,"4"
"577",0,423,5.6,"3"
"578",1,432,6.5,"1"
"579",0,296,5.6,"1"
"580",1,622,6,"3"
"581",0,361,5.4,"1"
"582",0,223,4.8,"4"
"583",0,496,5.6,"4"
"584",0,554,6.3,"4"
"585",0,452,6.2,"3"
"586",0,507,5.4,"4"
"587",1,735,6.8,"1"
"588",0,455,5.6,"1"
"589",1,270,5.6,"3"
"590",0,306,5.2,"4"
"591",1,504,5.4,"2"
"592",0,367,5.8,"3"
"593",1,522,6.4,"4"
"594",0,597,5.2,"3"
"595",1,723,6.3,"1"
"596",0,296,6.2,"2"
"597",0,328,5.5,"4"
"598",0,393,5.2,"4"
"599",1,622,6.2,"2"
"600",0,516,5.3,"4"
"601",0,244,5.3,"4"
"602",1,962,6.8,"1"
"603",0,513,5.7,"4"
"604",1,622,6.8,"4"
"605",1,682,6.3,"2"
"606",0,444,5.8,"3"
"607",0,466,6.2,"4"
"608",0,338,6.2,"4"
"609",0,604,5.7,"4"
"610",0,600,5.9,"4"
"611",0,338,6,"3"
"612",0,384,5.3,"4"
"613",0,503,6,"2"
"614",0,413,6,"1"
"615",0,270,5.5,"4"
"616",0,377,5.1,"3"
"617",0,251,5,"4"
"618",0,405,5.5,"4"
"619",0,512,5.6,"4"
"620",0,418,5.6,"3"
"621",0,479,6.2,"4"
"622",0,416,5.7,"4"
"623",0,269,5.7,"3"
"624",0,382,5.6,"3"
"625",0,327,5.9,"3"
"626",1,818,6.8,"2"
"627",0,504,6.1,"4"
"628",0,345,5,"3"
"629",0,411,5.5,"2"
"630",1,486,6.6,"1"
"631",0,427,5.3,"4"
"632",1,468,6.5,"1"
"633",0,321,4.7,"3"
"634",1,656,6.6,"2"
"635",0,380,5.3,"4"
"636",0,390,5.7,"4"
"637",0,485,5.7,"4"
"638",0,385,5.2,"4"
"639",1,986,6.8,"1"
"640",0,293,5.2,"4"
"641",0,423,6.1,"3"
"642",0,486,6.4,"4"
"643",1,986,5.8,"3"
"644",1,790,6.4,"1"
"645",0,555,5.8,"2"
"646",0,311,5.5,"3"
"647",0,490,5.3,"3"
"648",0,525,6.1,"3"
"649",0,426,6,"4"
"650",0,355,6.2,"1"
"651",1,735,6.3,"1"
"652",0,436,6,"4"
"653",0,421,6.4,"4"
"654",0,240,5.1,"3"
"655",0,325,4.7,"4"
"656",1,745,6.8,"2"
"657",0,418,5.4,"4"
"658",0,497,5.7,"4"
"659",0,544,5.9,"3"
"660",0,451,5.5,"4"
"661",1,486,6.3,"3"
"662",1,540,5.8,"3"
"663",0,452,5.6,"4"
"664",0,394,5.3,"3"
"665",0,449,5.7,"2"
"666",0,465,5.6,"4"
"667",0,418,5.6,"4"
"668",0,521,5.8,"4"
"669",0,538,6,"3"
"670",1,468,6.7,"1"
"671",1,986,6.5,"2"
"672",1,432,6.4,"4"
"673",0,313,5.1,"3"
"674",1,540,6.3,"3"
"675",0,249,5.5,"4"
"676",0,312,4.8,"2"
"677",1,468,6.4,"1"
"678",0,371,5.4,"3"
"679",1,540,6.4,"1"
"680",0,391,5.8,"2"
"681",1,468,6.6,"2"
"682",0,376,6.4,"4"
"683",0,455,6.1,"3"
"684",0,501,5.6,"2"
"685",1,360,5.9,"1"
"686",0,279,5.1,"3"
"687",1,986,6.5,"2"
"688",1,986,6.8,"4"
"689",0,347,5.6,"1"
"690",0,521,5.9,"4"
"691",0,526,5.6,"4"
"692",0,294,5,"4"
"693",0,423,5.5,"2"
"694",0,365,5.2,"1"
"695",1,682,6.8,"2"
"696",1,504,6.5,"1"
"697",0,421,6,"4"
"698",0,346,5.9,"4"
"699",1,486,6.3,"1"
"700",0,586,6,"1"
"701",1,522,6.3,"2"
"702",0,406,4.7,"4"
"703",1,745,6.4,"2"
"704",0,445,5.7,"4"
"705",1,636,6.3,"2"
"706",0,576,5.6,"2"
"707",0,362,6.6,"2"
"708",1,540,5.9,"1"
"709",0,394,5.5,"2"
"710",0,463,5.4,"3"
"711",1,468,6.1,"1"
"712",0,407,5.2,"4"
"713",0,434,6.1,"4"
"714",0,444,5,"1"
"715",0,438,5.5,"4"
"716",1,986,6,"2"
"717",0,390,6.1,"4"
"718",0,550,6,"2"
"719",1,622,6.6,"2"
"720",1,962,6,"2"
"721",1,986,6.5,"4"
"722",1,723,6.1,"1"
"723",0,525,5.7,"3"
"724",1,636,6.5,"1"
"725",0,473,5.7,"2"
"726",1,486,6.6,"1"
"727",0,473,5.5,"4"
"728",1,450,6.4,"1"
"729",0,441,5.9,"4"
"730",0,435,5.7,"4"
"731",0,309,5.4,"2"
"732",0,382,5.6,"4"
"733",1,432,5.7,"4"
"734",0,440,5.8,"3"
"735",0,292,4.5,"2"
"736",0,375,5,"3"
"737",1,360,6,"1"
"738",0,340,4.7,"4"
"739",0,354,5.8,"4"
"740",1,522,6.4,"2"
"741",0,430,5.1,"4"
"742",0,371,5.2,"3"
"743",0,461,6.2,"2"
"744",1,522,6.3,"2"
"745",0,398,5.4,"4"
"746",0,462,5.8,"4"
"747",0,416,5.5,"2"
"748",0,250,4.7,"3"
"749",0,532,5.6,"4"
"750",0,527,5.7,"3"
"751",0,383,5.2,"4"
"752",0,374,5.4,"4"
"753",0,270,5.4,"3"
"754",0,314,5.6,"4"
"755",0,462,6,"4"
"756",0,492,5.9,"4"
"757",1,580,6.8,"1"
"758",0,391,5.5,"4"
"759",0,417,5.4,"3"
"760",0,388,5,"4"
"761",0,466,5.6,"4"
"762",0,456,6.2,"3"
"763",0,429,6.2,"2"
"764",0,313,5.6,"4"
"765",0,449,6,"3"
"766",0,375,5.1,"4"
"767",1,642,6.4,"3"
"768",1,986,5.8,"2"
"769",1,910,6.2,"3"
"770",1,540,6.3,"3"
"771",0,478,5.5,"2"
"772",0,486,5.6,"4"
"773",0,527,6.4,"4"
"774",0,382,4.9,"4"
"775",0,313,5.5,"2"
"776",0,362,5.4,"2"
"777",0,477,5,"4"
"778",1,682,6.8,"1"
"779",1,745,6.8,"3"
"780",0,259,5.8,"2"
"781",0,612,5.8,"4"
"782",0,397,6,"1"
"783",1,414,6.4,"2"
"784",1,723,6.3,"3"
"785",1,790,6.4,"1"
"786",1,486,6.3,"1"
"787",1,468,6.5,"2"
"788",0,227,5.5,"3"
"789",0,261,5.5,"1"
"790",0,598,6,"3"
"791",1,468,6.4,"1"
"792",0,446,5.6,"2"
"793",0,531,6.3,"2"
"794",0,256,5,"3"
"795",0,325,5.9,"4"
"796",1,540,6.3,"3"
"797",0,536,5.9,"4"
"798",0,476,5.4,"3"
"799",0,594,6.3,"2"
"800",0,557,5.4,"1"
"801",1,270,5.6,"2"
"802",0,273,5.5,"3"
"803",0,361,5.1,"2"
"804",0,382,5.7,"4"
"805",0,394,5.8,"4"
"806",0,511,5.5,"3"
"807",0,363,4.9,"3"
"808",0,444,5.7,"3"
"809",1,622,6,"3"
"810",1,656,5.8,"1"
"811",0,414,5.5,"4"
"812",0,505,5.9,"3"
"813",1,642,6.7,"2"
"814",0,382,5,"4"
"815",0,531,6.3,"2"
"816",1,432,6.4,"4"
"817",0,606,6,"4"
"818",0,346,5.8,"2"
"819",0,400,5.4,"1"
"820",0,463,5.7,"3"
"821",0,413,5.6,"2"
"822",1,986,6.3,"4"
"823",0,427,5.5,"3"
"824",1,790,6.6,"1"
"825",0,473,5.8,"3"
"826",0,550,5.9,"4"
"827",0,443,6,"3"
"828",0,382,5.4,"3"
"829",1,599,6,"1"
"830",0,409,5.3,"4"
"831",0,284,6.2,"4"
"832",0,606,6.5,"4"
"833",1,835,6.7,"3"
"834",1,682,6.4,"3"
"835",0,493,5.6,"2"
"836",1,414,6.3,"2"
"837",1,540,6.4,"2"
"838",0,371,6.2,"1"
"839",0,455,6.2,"3"
"840",1,580,6.8,"1"
"841",0,277,5.4,"4"
"842",0,404,5.9,"3"
"843",0,556,5.8,"4"
"844",1,432,5.8,"2"
"845",0,457,5.3,"2"
"846",0,402,5.6,"4"
"847",0,427,6,"4"
"848",0,279,5.6,"4"
"849",0,275,5.7,"3"
"850",0,604,5.9,"2"
"851",1,675,6.3,"1"
"852",0,459,6.2,"2"
"853",0,338,6.1,"4"
"854",0,413,4.7,"4"
"855",0,523,5.2,"4"
"856",0,536,5.3,"2"
"857",0,391,5.7,"4"
"858",1,986,6.5,"3"
"859",0,495,6.3,"4"
"860",0,337,5.5,"4"
"861",0,271,5,"3"
"862",0,325,5.4,"4"
"863",1,396,6.3,"3"
"864",0,606,6,"4"
"865",1,486,6.3,"4"
"866",0,289,6.4,"3"
"867",1,468,6.5,"1"
"868",0,322,5.8,"3"
"869",0,605,4.9,"4"
"870",0,365,5.2,"3"
"871",0,603,6.6,"2"
"872",0,511,5.8,"2"
"873",1,835,6.7,"2"
"874",1,486,6.3,"3"
"875",0,329,5,"4"
"876",0,477,6,"4"
"877",0,251,5.5,"3"
"878",0,374,5.2,"4"
"879",0,540,6.1,"1"
"880",0,600,5.2,"4"
"881",1,580,6,"1"
"882",0,427,5.1,"4"
"883",1,622,6.3,"3"
"884",1,414,6.4,"2"
"885",0,399,5.5,"4"
"886",0,377,5,"3"
"887",0,358,5.8,"4"
"888",0,300,5.4,"2"
"889",0,398,5,"4"
"890",1,910,5.6,"3"
"891",1,636,6.3,"1"
"892",0,209,5.1,"3"
"893",0,275,6,"4"
"894",1,622,6,"2"
"895",1,486,6.3,"1"
"896",1,910,6.8,"3"
"897",1,522,5.7,"1"
"898",1,522,6.4,"4"
"899",0,469,5.4,"3"
"900",0,278,5.4,"3"
"901",0,433,5.6,"1"
"902",0,467,5.4,"3"
"903",0,367,5.1,"4"
"904",1,986,6.8,"2"
"905",0,398,6.1,"3"
"906",0,467,5.8,"4"
"907",0,511,5.6,"2"
"908",1,504,6.5,"2"
"909",1,306,5.8,"2"
"910",1,360,6,"1"
"911",0,312,5.3,"4"
"912",1,522,6.1,"2"
"913",0,283,5.8,"3"
"914",1,682,6.3,"3"
"915",0,231,5.3,"4"
"916",0,460,5.5,"2"
"917",0,267,5.9,"3"
"918",0,425,5.4,"4"
"919",0,358,5.3,"1"
"920",1,910,5.8,"2"
"921",0,418,6.2,"4"
"922",0,356,5.1,"1"
"923",1,414,6.8,"2"
"924",0,476,5.7,"2"
"925",1,636,6.5,"1"
"926",0,336,5.8,"4"
"927",0,504,5.1,"4"
"928",1,270,5.6,"2"
"929",0,356,5.5,"4"
"930",0,393,5.4,"4"
"931",0,473,5.6,"4"
"932",0,329,5,"4"
"933",1,656,5.8,"1"
"934",0,448,5.7,"3"
"935",0,460,5.5,"4"
"936",0,540,6,"2"
"937",0,505,5.8,"4"
"938",0,424,5.1,"3"
"939",0,404,5.5,"3"
"940",0,571,5.8,"3"
"941",0,556,5.4,"2"
"942",0,488,6,"3"
